image_id,0
0-4867,"[{""video_id"":0,""sequence"":8399,""video_frame"":4867,""sequence_frame"":1129,""image_id"":""0-4867"",""annotations"":[{""x"":306,""y"":436,""width"":66,""height"":56}]}]"
0-4868,"[{""video_id"":0,""sequence"":8399,""video_frame"":4868,""sequence_frame"":1130,""image_id"":""0-4868"",""annotations"":[{""x"":295,""y"":452,""width"":68,""height"":58}]}]"
0-4869,"[{""video_id"":0,""sequence"":8399,""video_frame"":4869,""sequence_frame"":1131,""image_id"":""0-4869"",""annotations"":[{""x"":280,""y"":473,""width"":84,""height"":54}]}]"
0-4870,"[{""video_id"":0,""sequence"":8399,""video_frame"":4870,""sequence_frame"":1132,""image_id"":""0-4870"",""annotations"":[{""x"":267,""y"":491,""width"":88,""height"":56}]}]"
0-4871,"[{""video_id"":0,""sequence"":8399,""video_frame"":4871,""sequence_frame"":1133,""image_id"":""0-4871"",""annotations"":[{""x"":257,""y"":510,""width"":90,""height"":58}]}]"
0-4872,"[{""video_id"":0,""sequence"":8399,""video_frame"":4872,""sequence_frame"":1134,""image_id"":""0-4872"",""annotations"":[{""x"":253,""y"":528,""width"":83,""height"":61}]}]"
0-4873,"[{""video_id"":0,""sequence"":8399,""video_frame"":4873,""sequence_frame"":1135,""image_id"":""0-4873"",""annotations"":[{""x"":241,""y"":547,""width"":90,""height"":65}]}]"
0-4874,"[{""video_id"":0,""sequence"":8399,""video_frame"":4874,""sequence_frame"":1136,""image_id"":""0-4874"",""annotations"":[{""x"":228,""y"":570,""width"":92,""height"":64}]}]"
0-4875,"[{""video_id"":0,""sequence"":8399,""video_frame"":4875,""sequence_frame"":1137,""image_id"":""0-4875"",""annotations"":[{""x"":219,""y"":593,""width"":89,""height"":60}]}]"
0-4876,"[{""video_id"":0,""sequence"":8399,""video_frame"":4876,""sequence_frame"":1138,""image_id"":""0-4876"",""annotations"":[{""x"":202,""y"":615,""width"":100,""height"":64}]}]"
0-4877,"[{""video_id"":0,""sequence"":8399,""video_frame"":4877,""sequence_frame"":1139,""image_id"":""0-4877"",""annotations"":[{""x"":203,""y"":643,""width"":82,""height"":54}]}]"
0-4878,"[{""video_id"":0,""sequence"":8399,""video_frame"":4878,""sequence_frame"":1140,""image_id"":""0-4878"",""annotations"":[{""x"":184,""y"":670,""width"":90,""height"":48}]}]"
0-4879,"[{""video_id"":0,""sequence"":8399,""video_frame"":4879,""sequence_frame"":1141,""image_id"":""0-4879"",""annotations"":[{""x"":187,""y"":671,""width"":87,""height"":46}]}]"
0-4880,"[{""video_id"":0,""sequence"":8399,""video_frame"":4880,""sequence_frame"":1142,""image_id"":""0-4880"",""annotations"":[]}]"
0-4881,"[{""video_id"":0,""sequence"":8399,""video_frame"":4881,""sequence_frame"":1143,""image_id"":""0-4881"",""annotations"":[]}]"
0-4882,"[{""video_id"":0,""sequence"":8399,""video_frame"":4882,""sequence_frame"":1144,""image_id"":""0-4882"",""annotations"":[]}]"
0-4883,"[{""video_id"":0,""sequence"":8399,""video_frame"":4883,""sequence_frame"":1145,""image_id"":""0-4883"",""annotations"":[]}]"
0-4884,"[{""video_id"":0,""sequence"":8399,""video_frame"":4884,""sequence_frame"":1146,""image_id"":""0-4884"",""annotations"":[]}]"
0-4885,"[{""video_id"":0,""sequence"":8399,""video_frame"":4885,""sequence_frame"":1147,""image_id"":""0-4885"",""annotations"":[]}]"
0-4886,"[{""video_id"":0,""sequence"":8399,""video_frame"":4886,""sequence_frame"":1148,""image_id"":""0-4886"",""annotations"":[]}]"
0-4887,"[{""video_id"":0,""sequence"":8399,""video_frame"":4887,""sequence_frame"":1149,""image_id"":""0-4887"",""annotations"":[]}]"
0-4888,"[{""video_id"":0,""sequence"":8399,""video_frame"":4888,""sequence_frame"":1150,""image_id"":""0-4888"",""annotations"":[]}]"
0-4889,"[{""video_id"":0,""sequence"":8399,""video_frame"":4889,""sequence_frame"":1151,""image_id"":""0-4889"",""annotations"":[]}]"
0-4890,"[{""video_id"":0,""sequence"":8399,""video_frame"":4890,""sequence_frame"":1152,""image_id"":""0-4890"",""annotations"":[]}]"
0-4891,"[{""video_id"":0,""sequence"":8399,""video_frame"":4891,""sequence_frame"":1153,""image_id"":""0-4891"",""annotations"":[]}]"
0-4892,"[{""video_id"":0,""sequence"":8399,""video_frame"":4892,""sequence_frame"":1154,""image_id"":""0-4892"",""annotations"":[]}]"
0-4893,"[{""video_id"":0,""sequence"":8399,""video_frame"":4893,""sequence_frame"":1155,""image_id"":""0-4893"",""annotations"":[]}]"
0-4894,"[{""video_id"":0,""sequence"":8399,""video_frame"":4894,""sequence_frame"":1156,""image_id"":""0-4894"",""annotations"":[]}]"
0-4895,"[{""video_id"":0,""sequence"":8399,""video_frame"":4895,""sequence_frame"":1157,""image_id"":""0-4895"",""annotations"":[]}]"
0-4896,"[{""video_id"":0,""sequence"":8399,""video_frame"":4896,""sequence_frame"":1158,""image_id"":""0-4896"",""annotations"":[]}]"
0-4897,"[{""video_id"":0,""sequence"":8399,""video_frame"":4897,""sequence_frame"":1159,""image_id"":""0-4897"",""annotations"":[]}]"
0-4898,"[{""video_id"":0,""sequence"":8399,""video_frame"":4898,""sequence_frame"":1160,""image_id"":""0-4898"",""annotations"":[]}]"
0-4899,"[{""video_id"":0,""sequence"":8399,""video_frame"":4899,""sequence_frame"":1161,""image_id"":""0-4899"",""annotations"":[]}]"
0-49,"[{""video_id"":0,""sequence"":40258,""video_frame"":49,""sequence_frame"":49,""image_id"":""0-49"",""annotations"":[{""x"":537,""y"":186,""width"":103,""height"":95},{""x"":624,""y"":324,""width"":95,""height"":56}]}]"
0-4900,"[{""video_id"":0,""sequence"":8399,""video_frame"":4900,""sequence_frame"":1162,""image_id"":""0-4900"",""annotations"":[]}]"
0-4901,"[{""video_id"":0,""sequence"":8399,""video_frame"":4901,""sequence_frame"":1163,""image_id"":""0-4901"",""annotations"":[]}]"
0-4902,"[{""video_id"":0,""sequence"":8399,""video_frame"":4902,""sequence_frame"":1164,""image_id"":""0-4902"",""annotations"":[]}]"
0-4903,"[{""video_id"":0,""sequence"":8399,""video_frame"":4903,""sequence_frame"":1165,""image_id"":""0-4903"",""annotations"":[]}]"
0-4904,"[{""video_id"":0,""sequence"":8399,""video_frame"":4904,""sequence_frame"":1166,""image_id"":""0-4904"",""annotations"":[]}]"
0-4905,"[{""video_id"":0,""sequence"":8399,""video_frame"":4905,""sequence_frame"":1167,""image_id"":""0-4905"",""annotations"":[]}]"
0-4906,"[{""video_id"":0,""sequence"":8399,""video_frame"":4906,""sequence_frame"":1168,""image_id"":""0-4906"",""annotations"":[]}]"
0-4907,"[{""video_id"":0,""sequence"":8399,""video_frame"":4907,""sequence_frame"":1169,""image_id"":""0-4907"",""annotations"":[]}]"
0-4908,"[{""video_id"":0,""sequence"":8399,""video_frame"":4908,""sequence_frame"":1170,""image_id"":""0-4908"",""annotations"":[]}]"
0-4909,"[{""video_id"":0,""sequence"":8399,""video_frame"":4909,""sequence_frame"":1171,""image_id"":""0-4909"",""annotations"":[]}]"
0-4910,"[{""video_id"":0,""sequence"":8399,""video_frame"":4910,""sequence_frame"":1172,""image_id"":""0-4910"",""annotations"":[]}]"
0-4911,"[{""video_id"":0,""sequence"":8399,""video_frame"":4911,""sequence_frame"":1173,""image_id"":""0-4911"",""annotations"":[]}]"
0-4912,"[{""video_id"":0,""sequence"":8399,""video_frame"":4912,""sequence_frame"":1174,""image_id"":""0-4912"",""annotations"":[]}]"
0-4913,"[{""video_id"":0,""sequence"":8399,""video_frame"":4913,""sequence_frame"":1175,""image_id"":""0-4913"",""annotations"":[]}]"
0-4914,"[{""video_id"":0,""sequence"":8399,""video_frame"":4914,""sequence_frame"":1176,""image_id"":""0-4914"",""annotations"":[]}]"
0-4915,"[{""video_id"":0,""sequence"":8399,""video_frame"":4915,""sequence_frame"":1177,""image_id"":""0-4915"",""annotations"":[]}]"
0-4916,"[{""video_id"":0,""sequence"":8399,""video_frame"":4916,""sequence_frame"":1178,""image_id"":""0-4916"",""annotations"":[]}]"
0-4917,"[{""video_id"":0,""sequence"":8399,""video_frame"":4917,""sequence_frame"":1179,""image_id"":""0-4917"",""annotations"":[]}]"
0-4918,"[{""video_id"":0,""sequence"":8399,""video_frame"":4918,""sequence_frame"":1180,""image_id"":""0-4918"",""annotations"":[]}]"
0-4919,"[{""video_id"":0,""sequence"":8399,""video_frame"":4919,""sequence_frame"":1181,""image_id"":""0-4919"",""annotations"":[]}]"
0-4920,"[{""video_id"":0,""sequence"":8399,""video_frame"":4920,""sequence_frame"":1182,""image_id"":""0-4920"",""annotations"":[]}]"
0-4921,"[{""video_id"":0,""sequence"":8399,""video_frame"":4921,""sequence_frame"":1183,""image_id"":""0-4921"",""annotations"":[]}]"
0-4922,"[{""video_id"":0,""sequence"":8399,""video_frame"":4922,""sequence_frame"":1184,""image_id"":""0-4922"",""annotations"":[]}]"
0-4923,"[{""video_id"":0,""sequence"":8399,""video_frame"":4923,""sequence_frame"":1185,""image_id"":""0-4923"",""annotations"":[]}]"
0-4924,"[{""video_id"":0,""sequence"":8399,""video_frame"":4924,""sequence_frame"":1186,""image_id"":""0-4924"",""annotations"":[]}]"
0-4925,"[{""video_id"":0,""sequence"":8399,""video_frame"":4925,""sequence_frame"":1187,""image_id"":""0-4925"",""annotations"":[]}]"
0-4926,"[{""video_id"":0,""sequence"":8399,""video_frame"":4926,""sequence_frame"":1188,""image_id"":""0-4926"",""annotations"":[]}]"
0-4927,"[{""video_id"":0,""sequence"":8399,""video_frame"":4927,""sequence_frame"":1189,""image_id"":""0-4927"",""annotations"":[]}]"
0-4928,"[{""video_id"":0,""sequence"":8399,""video_frame"":4928,""sequence_frame"":1190,""image_id"":""0-4928"",""annotations"":[]}]"
0-4929,"[{""video_id"":0,""sequence"":8399,""video_frame"":4929,""sequence_frame"":1191,""image_id"":""0-4929"",""annotations"":[]}]"
0-4930,"[{""video_id"":0,""sequence"":8399,""video_frame"":4930,""sequence_frame"":1192,""image_id"":""0-4930"",""annotations"":[]}]"
0-4931,"[{""video_id"":0,""sequence"":8399,""video_frame"":4931,""sequence_frame"":1193,""image_id"":""0-4931"",""annotations"":[]}]"
0-4932,"[{""video_id"":0,""sequence"":8399,""video_frame"":4932,""sequence_frame"":1194,""image_id"":""0-4932"",""annotations"":[]}]"
0-4933,"[{""video_id"":0,""sequence"":8399,""video_frame"":4933,""sequence_frame"":1195,""image_id"":""0-4933"",""annotations"":[]}]"
0-4934,"[{""video_id"":0,""sequence"":8399,""video_frame"":4934,""sequence_frame"":1196,""image_id"":""0-4934"",""annotations"":[]}]"
0-4935,"[{""video_id"":0,""sequence"":8399,""video_frame"":4935,""sequence_frame"":1197,""image_id"":""0-4935"",""annotations"":[]}]"
0-4936,"[{""video_id"":0,""sequence"":8399,""video_frame"":4936,""sequence_frame"":1198,""image_id"":""0-4936"",""annotations"":[]}]"
0-4937,"[{""video_id"":0,""sequence"":8399,""video_frame"":4937,""sequence_frame"":1199,""image_id"":""0-4937"",""annotations"":[]}]"
0-4938,"[{""video_id"":0,""sequence"":8399,""video_frame"":4938,""sequence_frame"":1200,""image_id"":""0-4938"",""annotations"":[]}]"
0-4939,"[{""video_id"":0,""sequence"":8399,""video_frame"":4939,""sequence_frame"":1201,""image_id"":""0-4939"",""annotations"":[]}]"
0-4940,"[{""video_id"":0,""sequence"":8399,""video_frame"":4940,""sequence_frame"":1202,""image_id"":""0-4940"",""annotations"":[]}]"
0-4941,"[{""video_id"":0,""sequence"":8399,""video_frame"":4941,""sequence_frame"":1203,""image_id"":""0-4941"",""annotations"":[]}]"
0-4942,"[{""video_id"":0,""sequence"":8399,""video_frame"":4942,""sequence_frame"":1204,""image_id"":""0-4942"",""annotations"":[]}]"
0-4943,"[{""video_id"":0,""sequence"":8399,""video_frame"":4943,""sequence_frame"":1205,""image_id"":""0-4943"",""annotations"":[]}]"
0-4944,"[{""video_id"":0,""sequence"":8399,""video_frame"":4944,""sequence_frame"":1206,""image_id"":""0-4944"",""annotations"":[]}]"
0-4945,"[{""video_id"":0,""sequence"":8399,""video_frame"":4945,""sequence_frame"":1207,""image_id"":""0-4945"",""annotations"":[]}]"
0-4946,"[{""video_id"":0,""sequence"":8399,""video_frame"":4946,""sequence_frame"":1208,""image_id"":""0-4946"",""annotations"":[]}]"
0-4947,"[{""video_id"":0,""sequence"":8399,""video_frame"":4947,""sequence_frame"":1209,""image_id"":""0-4947"",""annotations"":[]}]"
0-4948,"[{""video_id"":0,""sequence"":8399,""video_frame"":4948,""sequence_frame"":1210,""image_id"":""0-4948"",""annotations"":[]}]"
0-4949,"[{""video_id"":0,""sequence"":8399,""video_frame"":4949,""sequence_frame"":1211,""image_id"":""0-4949"",""annotations"":[]}]"
0-4950,"[{""video_id"":0,""sequence"":8399,""video_frame"":4950,""sequence_frame"":1212,""image_id"":""0-4950"",""annotations"":[]}]"
0-4951,"[{""video_id"":0,""sequence"":8399,""video_frame"":4951,""sequence_frame"":1213,""image_id"":""0-4951"",""annotations"":[]}]"
0-4952,"[{""video_id"":0,""sequence"":8399,""video_frame"":4952,""sequence_frame"":1214,""image_id"":""0-4952"",""annotations"":[]}]"
0-4953,"[{""video_id"":0,""sequence"":8399,""video_frame"":4953,""sequence_frame"":1215,""image_id"":""0-4953"",""annotations"":[]}]"
0-4954,"[{""video_id"":0,""sequence"":8399,""video_frame"":4954,""sequence_frame"":1216,""image_id"":""0-4954"",""annotations"":[]}]"
0-4955,"[{""video_id"":0,""sequence"":8399,""video_frame"":4955,""sequence_frame"":1217,""image_id"":""0-4955"",""annotations"":[]}]"
0-4956,"[{""video_id"":0,""sequence"":8399,""video_frame"":4956,""sequence_frame"":1218,""image_id"":""0-4956"",""annotations"":[]}]"
0-4957,"[{""video_id"":0,""sequence"":8399,""video_frame"":4957,""sequence_frame"":1219,""image_id"":""0-4957"",""annotations"":[]}]"
0-4958,"[{""video_id"":0,""sequence"":8399,""video_frame"":4958,""sequence_frame"":1220,""image_id"":""0-4958"",""annotations"":[]}]"
0-4959,"[{""video_id"":0,""sequence"":8399,""video_frame"":4959,""sequence_frame"":1221,""image_id"":""0-4959"",""annotations"":[]}]"
0-4960,"[{""video_id"":0,""sequence"":8399,""video_frame"":4960,""sequence_frame"":1222,""image_id"":""0-4960"",""annotations"":[]}]"
0-4961,"[{""video_id"":0,""sequence"":8399,""video_frame"":4961,""sequence_frame"":1223,""image_id"":""0-4961"",""annotations"":[]}]"
0-4962,"[{""video_id"":0,""sequence"":8399,""video_frame"":4962,""sequence_frame"":1224,""image_id"":""0-4962"",""annotations"":[]}]"
0-4963,"[{""video_id"":0,""sequence"":8399,""video_frame"":4963,""sequence_frame"":1225,""image_id"":""0-4963"",""annotations"":[]}]"
0-4964,"[{""video_id"":0,""sequence"":8399,""video_frame"":4964,""sequence_frame"":1226,""image_id"":""0-4964"",""annotations"":[]}]"
0-4965,"[{""video_id"":0,""sequence"":8399,""video_frame"":4965,""sequence_frame"":1227,""image_id"":""0-4965"",""annotations"":[]}]"
0-4966,"[{""video_id"":0,""sequence"":8399,""video_frame"":4966,""sequence_frame"":1228,""image_id"":""0-4966"",""annotations"":[]}]"
0-4967,"[{""video_id"":0,""sequence"":8399,""video_frame"":4967,""sequence_frame"":1229,""image_id"":""0-4967"",""annotations"":[]}]"
0-4968,"[{""video_id"":0,""sequence"":8399,""video_frame"":4968,""sequence_frame"":1230,""image_id"":""0-4968"",""annotations"":[]}]"
0-4969,"[{""video_id"":0,""sequence"":8399,""video_frame"":4969,""sequence_frame"":1231,""image_id"":""0-4969"",""annotations"":[]}]"
0-4970,"[{""video_id"":0,""sequence"":8399,""video_frame"":4970,""sequence_frame"":1232,""image_id"":""0-4970"",""annotations"":[]}]"
0-4971,"[{""video_id"":0,""sequence"":8399,""video_frame"":4971,""sequence_frame"":1233,""image_id"":""0-4971"",""annotations"":[]}]"
0-4972,"[{""video_id"":0,""sequence"":8399,""video_frame"":4972,""sequence_frame"":1234,""image_id"":""0-4972"",""annotations"":[]}]"
0-4973,"[{""video_id"":0,""sequence"":8399,""video_frame"":4973,""sequence_frame"":1235,""image_id"":""0-4973"",""annotations"":[]}]"
0-4974,"[{""video_id"":0,""sequence"":8399,""video_frame"":4974,""sequence_frame"":1236,""image_id"":""0-4974"",""annotations"":[]}]"
0-4975,"[{""video_id"":0,""sequence"":8399,""video_frame"":4975,""sequence_frame"":1237,""image_id"":""0-4975"",""annotations"":[]}]"
0-4976,"[{""video_id"":0,""sequence"":8399,""video_frame"":4976,""sequence_frame"":1238,""image_id"":""0-4976"",""annotations"":[]}]"
0-4977,"[{""video_id"":0,""sequence"":8399,""video_frame"":4977,""sequence_frame"":1239,""image_id"":""0-4977"",""annotations"":[]}]"
0-4978,"[{""video_id"":0,""sequence"":8399,""video_frame"":4978,""sequence_frame"":1240,""image_id"":""0-4978"",""annotations"":[]}]"
0-4979,"[{""video_id"":0,""sequence"":8399,""video_frame"":4979,""sequence_frame"":1241,""image_id"":""0-4979"",""annotations"":[]}]"
0-4980,"[{""video_id"":0,""sequence"":8399,""video_frame"":4980,""sequence_frame"":1242,""image_id"":""0-4980"",""annotations"":[]}]"
0-4981,"[{""video_id"":0,""sequence"":8399,""video_frame"":4981,""sequence_frame"":1243,""image_id"":""0-4981"",""annotations"":[]}]"
0-4982,"[{""video_id"":0,""sequence"":8399,""video_frame"":4982,""sequence_frame"":1244,""image_id"":""0-4982"",""annotations"":[]}]"
0-4983,"[{""video_id"":0,""sequence"":8399,""video_frame"":4983,""sequence_frame"":1245,""image_id"":""0-4983"",""annotations"":[]}]"
0-4984,"[{""video_id"":0,""sequence"":8399,""video_frame"":4984,""sequence_frame"":1246,""image_id"":""0-4984"",""annotations"":[]}]"
0-4985,"[{""video_id"":0,""sequence"":8399,""video_frame"":4985,""sequence_frame"":1247,""image_id"":""0-4985"",""annotations"":[]}]"
0-4986,"[{""video_id"":0,""sequence"":8399,""video_frame"":4986,""sequence_frame"":1248,""image_id"":""0-4986"",""annotations"":[]}]"
0-4987,"[{""video_id"":0,""sequence"":8399,""video_frame"":4987,""sequence_frame"":1249,""image_id"":""0-4987"",""annotations"":[]}]"
0-4988,"[{""video_id"":0,""sequence"":8399,""video_frame"":4988,""sequence_frame"":1250,""image_id"":""0-4988"",""annotations"":[]}]"
0-4989,"[{""video_id"":0,""sequence"":8399,""video_frame"":4989,""sequence_frame"":1251,""image_id"":""0-4989"",""annotations"":[]}]"
0-4990,"[{""video_id"":0,""sequence"":8399,""video_frame"":4990,""sequence_frame"":1252,""image_id"":""0-4990"",""annotations"":[{""x"":546,""y"":1,""width"":50,""height"":29}]}]"
0-4991,"[{""video_id"":0,""sequence"":8399,""video_frame"":4991,""sequence_frame"":1253,""image_id"":""0-4991"",""annotations"":[{""x"":547,""y"":9,""width"":50,""height"":29}]}]"
0-4992,"[{""video_id"":0,""sequence"":8399,""video_frame"":4992,""sequence_frame"":1254,""image_id"":""0-4992"",""annotations"":[{""x"":548,""y"":16,""width"":50,""height"":29}]}]"
0-4993,"[{""video_id"":0,""sequence"":8399,""video_frame"":4993,""sequence_frame"":1255,""image_id"":""0-4993"",""annotations"":[{""x"":549,""y"":24,""width"":50,""height"":29}]}]"
0-4994,"[{""video_id"":0,""sequence"":8399,""video_frame"":4994,""sequence_frame"":1256,""image_id"":""0-4994"",""annotations"":[{""x"":550,""y"":31,""width"":50,""height"":29}]}]"
0-4995,"[{""video_id"":0,""sequence"":8399,""video_frame"":4995,""sequence_frame"":1257,""image_id"":""0-4995"",""annotations"":[{""x"":551,""y"":39,""width"":50,""height"":29}]}]"
0-4996,"[{""video_id"":0,""sequence"":8399,""video_frame"":4996,""sequence_frame"":1258,""image_id"":""0-4996"",""annotations"":[{""x"":550,""y"":44,""width"":55,""height"":37}]}]"
0-4997,"[{""video_id"":0,""sequence"":8399,""video_frame"":4997,""sequence_frame"":1259,""image_id"":""0-4997"",""annotations"":[{""x"":551,""y"":50,""width"":55,""height"":37}]}]"
0-4998,"[{""video_id"":0,""sequence"":8399,""video_frame"":4998,""sequence_frame"":1260,""image_id"":""0-4998"",""annotations"":[{""x"":553,""y"":56,""width"":55,""height"":37}]}]"
0-4999,"[{""video_id"":0,""sequence"":8399,""video_frame"":4999,""sequence_frame"":1261,""image_id"":""0-4999"",""annotations"":[{""x"":555,""y"":62,""width"":55,""height"":37}]}]"
0-5,"[{""video_id"":0,""sequence"":40258,""video_frame"":5,""sequence_frame"":5,""image_id"":""0-5"",""annotations"":[]}]"
0-50,"[{""video_id"":0,""sequence"":40258,""video_frame"":50,""sequence_frame"":50,""image_id"":""0-50"",""annotations"":[{""x"":539,""y"":205,""width"":105,""height"":98},{""x"":630,""y"":351,""width"":95,""height"":56}]}]"
0-5000,"[{""video_id"":0,""sequence"":8399,""video_frame"":5000,""sequence_frame"":1262,""image_id"":""0-5000"",""annotations"":[{""x"":556,""y"":68,""width"":55,""height"":37}]}]"
0-5001,"[{""video_id"":0,""sequence"":8399,""video_frame"":5001,""sequence_frame"":1263,""image_id"":""0-5001"",""annotations"":[{""x"":558,""y"":74,""width"":55,""height"":37}]}]"
0-5002,"[{""video_id"":0,""sequence"":8399,""video_frame"":5002,""sequence_frame"":1264,""image_id"":""0-5002"",""annotations"":[{""x"":559,""y"":80,""width"":55,""height"":37}]}]"
0-5003,"[{""video_id"":0,""sequence"":8399,""video_frame"":5003,""sequence_frame"":1265,""image_id"":""0-5003"",""annotations"":[{""x"":561,""y"":86,""width"":55,""height"":37}]}]"
0-5004,"[{""video_id"":0,""sequence"":8399,""video_frame"":5004,""sequence_frame"":1266,""image_id"":""0-5004"",""annotations"":[{""x"":562,""y"":92,""width"":55,""height"":37}]}]"
0-5005,"[{""video_id"":0,""sequence"":8399,""video_frame"":5005,""sequence_frame"":1267,""image_id"":""0-5005"",""annotations"":[{""x"":564,""y"":98,""width"":55,""height"":37}]}]"
0-5006,"[{""video_id"":0,""sequence"":8399,""video_frame"":5006,""sequence_frame"":1268,""image_id"":""0-5006"",""annotations"":[{""x"":565,""y"":104,""width"":55,""height"":37}]}]"
0-5007,"[{""video_id"":0,""sequence"":8399,""video_frame"":5007,""sequence_frame"":1269,""image_id"":""0-5007"",""annotations"":[{""x"":566,""y"":112,""width"":56,""height"":38}]}]"
0-5008,"[{""video_id"":0,""sequence"":8399,""video_frame"":5008,""sequence_frame"":1270,""image_id"":""0-5008"",""annotations"":[{""x"":567,""y"":120,""width"":56,""height"":39}]}]"
0-5009,"[{""video_id"":0,""sequence"":8399,""video_frame"":5009,""sequence_frame"":1271,""image_id"":""0-5009"",""annotations"":[{""x"":568,""y"":127,""width"":57,""height"":41}]}]"
0-5010,"[{""video_id"":0,""sequence"":8399,""video_frame"":5010,""sequence_frame"":1272,""image_id"":""0-5010"",""annotations"":[{""x"":569,""y"":135,""width"":57,""height"":42}]}]"
0-5011,"[{""video_id"":0,""sequence"":8399,""video_frame"":5011,""sequence_frame"":1273,""image_id"":""0-5011"",""annotations"":[{""x"":569,""y"":145,""width"":58,""height"":43}]}]"
0-5012,"[{""video_id"":0,""sequence"":8399,""video_frame"":5012,""sequence_frame"":1274,""image_id"":""0-5012"",""annotations"":[{""x"":569,""y"":156,""width"":58,""height"":45}]}]"
0-5013,"[{""video_id"":0,""sequence"":8399,""video_frame"":5013,""sequence_frame"":1275,""image_id"":""0-5013"",""annotations"":[{""x"":569,""y"":166,""width"":59,""height"":46}]}]"
0-5014,"[{""video_id"":0,""sequence"":8399,""video_frame"":5014,""sequence_frame"":1276,""image_id"":""0-5014"",""annotations"":[{""x"":569,""y"":177,""width"":59,""height"":47}]}]"
0-5015,"[{""video_id"":0,""sequence"":8399,""video_frame"":5015,""sequence_frame"":1277,""image_id"":""0-5015"",""annotations"":[{""x"":569,""y"":187,""width"":60,""height"":49}]}]"
0-5016,"[{""video_id"":0,""sequence"":8399,""video_frame"":5016,""sequence_frame"":1278,""image_id"":""0-5016"",""annotations"":[{""x"":570,""y"":198,""width"":61,""height"":50}]}]"
0-5017,"[{""video_id"":0,""sequence"":8399,""video_frame"":5017,""sequence_frame"":1279,""image_id"":""0-5017"",""annotations"":[{""x"":569,""y"":208,""width"":63,""height"":51}]}]"
0-5018,"[{""video_id"":0,""sequence"":8399,""video_frame"":5018,""sequence_frame"":1280,""image_id"":""0-5018"",""annotations"":[{""x"":569,""y"":219,""width"":65,""height"":51}]}]"
0-5019,"[{""video_id"":0,""sequence"":8399,""video_frame"":5019,""sequence_frame"":1281,""image_id"":""0-5019"",""annotations"":[{""x"":569,""y"":230,""width"":66,""height"":52}]}]"
0-5020,"[{""video_id"":0,""sequence"":8399,""video_frame"":5020,""sequence_frame"":1282,""image_id"":""0-5020"",""annotations"":[{""x"":568,""y"":241,""width"":68,""height"":52}]}]"
0-5021,"[{""video_id"":0,""sequence"":8399,""video_frame"":5021,""sequence_frame"":1283,""image_id"":""0-5021"",""annotations"":[{""x"":568,""y"":251,""width"":70,""height"":53}]}]"
0-5022,"[{""video_id"":0,""sequence"":8399,""video_frame"":5022,""sequence_frame"":1284,""image_id"":""0-5022"",""annotations"":[{""x"":568,""y"":262,""width"":72,""height"":53}]}]"
0-5023,"[{""video_id"":0,""sequence"":8399,""video_frame"":5023,""sequence_frame"":1285,""image_id"":""0-5023"",""annotations"":[{""x"":568,""y"":271,""width"":74,""height"":54}]}]"
0-5024,"[{""video_id"":0,""sequence"":8399,""video_frame"":5024,""sequence_frame"":1286,""image_id"":""0-5024"",""annotations"":[{""x"":567,""y"":280,""width"":76,""height"":54}]}]"
0-5025,"[{""video_id"":0,""sequence"":8399,""video_frame"":5025,""sequence_frame"":1287,""image_id"":""0-5025"",""annotations"":[{""x"":567,""y"":289,""width"":78,""height"":55}]}]"
0-5026,"[{""video_id"":0,""sequence"":8399,""video_frame"":5026,""sequence_frame"":1288,""image_id"":""0-5026"",""annotations"":[{""x"":567,""y"":297,""width"":80,""height"":56}]}]"
0-5027,"[{""video_id"":0,""sequence"":8399,""video_frame"":5027,""sequence_frame"":1289,""image_id"":""0-5027"",""annotations"":[{""x"":567,""y"":306,""width"":81,""height"":57}]}]"
0-5028,"[{""video_id"":0,""sequence"":8399,""video_frame"":5028,""sequence_frame"":1290,""image_id"":""0-5028"",""annotations"":[{""x"":566,""y"":315,""width"":81,""height"":58}]}]"
0-5029,"[{""video_id"":0,""sequence"":8399,""video_frame"":5029,""sequence_frame"":1291,""image_id"":""0-5029"",""annotations"":[{""x"":566,""y"":323,""width"":82,""height"":59}]}]"
0-5030,"[{""video_id"":0,""sequence"":8399,""video_frame"":5030,""sequence_frame"":1292,""image_id"":""0-5030"",""annotations"":[{""x"":565,""y"":332,""width"":82,""height"":60}]}]"
0-5031,"[{""video_id"":0,""sequence"":8399,""video_frame"":5031,""sequence_frame"":1293,""image_id"":""0-5031"",""annotations"":[{""x"":565,""y"":341,""width"":83,""height"":61}]}]"
0-5032,"[{""video_id"":0,""sequence"":8399,""video_frame"":5032,""sequence_frame"":1294,""image_id"":""0-5032"",""annotations"":[{""x"":565,""y"":349,""width"":83,""height"":62}]}]"
0-5033,"[{""video_id"":0,""sequence"":8399,""video_frame"":5033,""sequence_frame"":1295,""image_id"":""0-5033"",""annotations"":[{""x"":564,""y"":358,""width"":84,""height"":64}]}]"
0-5034,"[{""video_id"":0,""sequence"":8399,""video_frame"":5034,""sequence_frame"":1296,""image_id"":""0-5034"",""annotations"":[{""x"":564,""y"":366,""width"":84,""height"":65}]}]"
0-5035,"[{""video_id"":0,""sequence"":8399,""video_frame"":5035,""sequence_frame"":1297,""image_id"":""0-5035"",""annotations"":[{""x"":564,""y"":375,""width"":85,""height"":66}]}]"
